"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1908,45.4,31.3,85.4,40,64.5,47.5,63.3,47.6,44.7,17.6,69.3,107.5,45.1,32.9,28.6,65.4,30.7,8.4,8.4
"historical",1909,27.9,44.4,27,45.8,55.5,29.8,46.7,33.2,56.1,8.3,20.9,136.7,52.8,40.4,58.2,75.2,33.2,37.4,8.3
"historical",1910,16.8,56.2,58.2,34.5,36.7,44.8,87.2,10.9,20.8,17.8,98.4,120.1,23.5,39.6,56.3,56.4,43.9,43.8,10.9
"historical",1911,19.7,25,43.1,38.8,35.9,38.1,68.2,33.2,71.1,37.5,50.3,119,41.9,45.9,54.7,69.9,48.9,20.8,19.7
"historical",1912,58.6,66.2,68.3,53.8,21.6,47.2,76.5,19.2,63.7,28.2,53.8,99.5,47.7,35.3,19.5,89.2,57,45.3,19.2
"historical",1913,49.7,26.3,56.8,33.5,48.8,58.1,44.1,12.9,49.7,28.2,83.2,125.7,26.3,29.9,44.3,68,19.7,42.8,12.9
"historical",1914,43.5,36.3,99.6,41.6,46.7,12.6,57.5,22,42,31.2,39.5,106.7,64.9,31.4,47.6,70,50.4,23,12.6
"historical",1915,33.7,40.7,38.9,24.5,38.3,46.1,82,36.6,48.2,18.5,60.7,95.7,61.9,60.3,58.4,87.3,35.7,30.7,18.5
"historical",1916,35.8,42.4,62.5,21.2,61.1,36.2,55.2,32.3,38.1,20.9,73.4,144.5,56.4,42.2,44,66.5,67.8,36.5,20.9
"historical",1917,29.7,75.2,35.1,49.2,49.8,34.9,87.3,27.9,24.8,8.8,53.6,94.2,66.4,38.7,36.7,75.3,23.5,47.9,8.8
"historical",1918,34.5,15.1,119.8,43.2,59.5,45.4,61.6,43.1,11.2,32,59,127,84.1,40.8,38.5,51.5,46.5,29.2,11.2
"historical",1919,49.7,22.5,65.3,43.7,44,36.1,90.6,49.1,57,11.7,51.8,119.1,83.3,31.2,28.5,76.7,70.7,30.2,11.7
"historical",1920,46.5,42.4,52.7,40.2,67.9,19.5,87.1,15.4,75.5,25.6,70,127.7,58,29.6,61.8,85.4,39.9,58.3,15.4
"historical",1921,28.1,30.1,67.3,27.9,44.9,34.8,87.8,11.2,20.8,13,47.5,135.5,81.3,32.6,47.4,65,27.3,25.6,11.2
"historical",1922,67.5,62.8,61.8,38.1,62.3,29.4,94.2,24.1,21.7,18.9,45.1,107,29.5,19.5,48.1,48,46.5,25.2,18.9
"historical",1923,37.4,48,77.5,51.1,65.1,69.4,79.9,28.4,53.3,28.6,71.6,145.2,67.1,19.6,45.4,86.2,36.5,57.5,19.6
"historical",1924,44.7,69.4,47.1,20.6,30.1,44.5,89.2,41.8,66,22.4,54.2,125.1,40.8,29.1,32,78.4,46.7,25,20.6
"historical",1925,56.9,46.4,70.4,51.6,47.6,19.9,104,19.5,14,25,39.7,95.7,56.5,33.1,38.2,67.3,40.2,49.6,14
"historical",1926,37.9,46.6,55.4,57.7,55.3,54.6,83,20.9,32.1,9.9,53.4,105.1,80.3,43,46.1,88.5,47.6,41.6,9.9
"historical",1927,60.8,80.5,97.9,57.9,53.4,11.3,99.6,30.9,20.7,25.1,60.6,150.7,73.5,16.8,60.9,77.8,55.6,29.9,11.3
"historical",1928,35.7,24.3,13.4,32.2,27.8,25.9,75,22.2,52.1,42,56.5,130.2,73,40.2,47.5,57.3,65.1,39.3,13.4
"historical",1929,26,52,17.4,43.2,43.4,57.5,72.7,21.8,42.4,16.2,87,126.1,52.7,51.2,29.8,62.9,52.8,25.8,16.2
"historical",1930,57.3,79.4,37.7,25.4,43.9,27.1,89.8,20.5,39,21,93.3,79.3,60.5,23.5,40,59.2,58.9,27.6,20.5
"historical",1931,29.4,32.3,36.9,26.7,45.7,30.3,79.6,16.8,52.1,13.2,33.1,119.1,49.3,34.9,46.8,96.6,58.6,39,13.2
"historical",1932,24.2,47.5,78.6,9.2,42.2,38.6,101.2,34.6,15.6,16.1,67.7,123.5,47.2,48.3,50.3,93.8,46.8,60,9.2
"historical",1933,28.2,44.3,74.8,42,49,31.7,65.2,18.2,61.9,30.5,58.8,157.4,61.7,26.5,45.9,85.5,59.6,47.2,18.2
"historical",1934,56.4,46.9,101.6,18.9,51.7,48.2,84.9,29.6,58.5,28.8,60.6,62.2,47,45.6,43,105.4,62.8,38.3,18.9
"historical",1935,18.2,46.9,63.5,34.5,57.6,31.9,105.9,35.7,47.6,18.7,63.7,91.1,47.6,27.7,48.6,93.7,62.1,26.4,18.2
"historical",1936,24,69.4,40,23.6,43.3,47.5,94.3,47.7,25.7,30.4,63.3,117.3,78.3,25.2,60.3,46.7,41.8,42.5,23.6
"historical",1937,38.1,52.3,69.2,38.9,41.3,9.8,94,29.6,34.3,9.6,28.2,100.1,45.2,21,33.8,60.3,47.2,26.3,9.6
"historical",1938,68,48.9,111,48.6,34.1,67.2,40.7,41.7,15.8,11.3,68.2,83.1,37.9,35.2,24.9,89.4,69.5,37.6,11.3
"historical",1939,67.6,57.7,95,40.2,29.7,28,62.6,54.9,39.8,10.5,68.6,91.2,65.8,45.9,41.6,21.2,33.8,8,8
"historical",1940,20.5,50.4,89.6,26.9,45.6,59.4,59.5,26.2,19.9,16.4,51.2,101.6,47.9,42.5,53.9,54.2,28,25.5,16.4
"historical",1941,14.3,15.7,61.5,25.4,41.5,22.2,34.4,19.2,44.1,22.5,52.3,97.1,28.7,49.6,47.9,107.6,70.7,43.8,14.3
"historical",1942,36.3,64.6,48.3,47.5,60.8,21.3,54.1,18,102,15.4,77.2,82.2,44.3,28.5,81.7,23.6,93.8,32.5,15.4
"historical",1943,97.3,43.9,47,39,55.5,47.7,72.1,12.4,60.8,9.9,59.3,117.6,62,37,49.1,107.6,44.7,9.1,9.1
"historical",1944,41.7,54.9,39.1,47.1,52.7,42.2,62,33.7,43.5,24.9,66.9,89.3,36.4,38.5,32.8,70.3,35.4,27.5,24.9
