"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1918,-2.9,1.8,-5.1,-5.5,-5.3,-3.1,-4,-9.6,-10.3,-4,-5.2,-2,-4.3,-7.1,-8.4,-4.6,-11.3,-9.2,-5.6
"historical",1919,-7.6,1.9,-9.4,-3.4,-6,-6.6,-2,-7,-11.4,-5.8,-5.3,-4.6,-4.5,-6.1,-8.8,-4.6,-11,-11.9,-6.3
"historical",1920,-4,1.4,-6.8,-4.5,-5.8,-3.8,-1.6,-8.1,-5.3,-5.8,-4.9,-1.4,-4.3,-5.8,-8.1,-3.1,-7.2,-8.5,-4.9
"historical",1921,-5.7,1,-7.6,-4.9,-6.4,-6.5,-5.3,-9.7,-7.6,-4.5,-5.6,-1.2,-5.1,-8.2,-6.3,-3.3,-12,-7.1,-5.9
"historical",1922,-6.1,1.6,-4.7,-4.5,-5.4,-6,-8.2,-9.1,-8.7,-6.7,-5,-1.2,-4.2,-8.8,-8.5,-4.2,-12.5,-9.9,-6.2
"historical",1923,-6.2,2.3,-4.3,-3.1,-4.9,-4.8,-5.9,-8.7,-8.8,-5,-5.1,-2.6,-3.9,-6.1,-7.5,-3.7,-11.7,-8.6,-5.5
"historical",1924,-5,2.5,-3.9,-2.6,-7.8,-4.4,-7,-7.2,-8.5,-4.5,-5.3,-1.7,-4.8,-6,-7.3,-3.2,-13.5,-9,-5.5
"historical",1925,-5.1,3,-7.4,-5,-6.7,-8.1,-3.7,-10.2,-11.4,-8.8,-8,-1.6,-2.1,-7.3,-7.1,-3.3,-12.9,-9.5,-6.4
"historical",1926,-2.9,2.2,-5.3,-5.3,-5.8,-5.7,-5.2,-10,-8.6,-6.5,-5.4,-2,-3.9,-4.5,-8,-4.3,-11.1,-7.9,-5.6
"historical",1927,-4.7,1.8,-6.1,-4.7,-5.3,-5.2,-4.8,-9.1,-10.7,-4.9,-4.7,-0.5,-5.7,-5.5,-8.1,-2.8,-11.5,-9.2,-5.6
"historical",1928,-4.1,-1.8,-6,-6,-5.9,-5.6,-1.6,-9.7,-11.9,-9.6,-7.8,-0.5,-5.7,-7.5,-8,-1.9,-12.1,-7.6,-6.3
"historical",1929,-4,1.5,-3,-4.6,-5.4,-3.6,-4.8,-9.2,-6.8,-9.3,-7.2,-0.5,-4.5,-7.1,-8.9,-3.5,-10,-9.4,-5.6
"historical",1930,-4.4,2.8,-4.3,-4.3,-4.9,-4.2,-4.1,-8.3,-11.1,-7.6,-7.5,-1.3,-3.6,-5.9,-7.8,-1.7,-8.9,-7.6,-5.3
"historical",1931,-2.9,1.3,-3.6,-4.3,-6.3,-3.7,-6.5,-8.7,-6.9,-4.5,-8.7,-2,-3.5,-7.4,-6.4,-3.9,-10.6,-6.4,-5.3
"historical",1932,-4.6,1.3,-5.4,-6,-7,-4.2,-6.1,-9.9,-8.6,-8.3,-6.1,-1.5,-3.9,-6.1,-7.2,-3.9,-10.3,-7.8,-5.9
"historical",1933,-4.9,1.6,-4.8,-4.7,-3.7,-5.6,-3.9,-7,-10.8,-6,-5.7,-2.5,-4,-5.1,-7.4,-3.7,-15.3,-8.7,-5.7
"historical",1934,-2.7,1.9,-8.3,-6.4,-5.7,-3.8,-3,-9.7,-10.2,-8.7,-5,-4,-3.9,-6.2,-8,-4.4,-10.8,-7.6,-5.9
"historical",1935,-4.5,2.3,-3.5,-5.1,-5.7,-3.6,-3.6,-9.5,-9.9,-4.8,-6.7,-0.7,-2.6,-7.2,-6.7,-2.7,-10,-8.6,-5.2
"historical",1936,-5.5,1.4,-4.2,-5.1,-6.3,-3.8,-2.4,-9.7,-9.9,-8.9,-6.6,-1.6,-5.5,-4.3,-5.8,-4.1,-8.8,-9.1,-5.6
"historical",1937,-5.9,0.6,-4.6,-4.7,-5,-6.6,-5.8,-9,-7.8,-5.5,-5.9,-0.1,-4.6,-6.6,-7.9,-3.5,-13,-11.2,-6
"historical",1938,-3.4,3.8,-5.7,-5.4,-7.3,-5,-6.8,-8.9,-12.6,-6.6,-6.5,-1.1,-3,-4.6,-8.2,-3.7,-10.8,-9.4,-5.8
"historical",1939,-7.3,1,-4.9,-3,-4.2,-4.8,-7.6,-8.3,-8.2,-5.1,-6.2,-0.2,-4.7,-6.6,-5.7,-2.4,-11.1,-7.5,-5.4
"historical",1940,-5.1,1.7,-4.1,-3.8,-8.6,-3.9,-3.5,-9.8,-7.8,-7.9,-5.3,-1.7,-4.5,-5.3,-6.3,-2.9,-10.3,-8.4,-5.4
"historical",1941,-4.5,0.6,-7.2,-4,-4.2,-6.4,-4.3,-8.3,-10.3,-5.3,-6.6,-2.4,-6.2,-6.5,-7.2,-2.8,-13.7,-8.3,-6
